time_s,heat_balance,moisture_balance,heat_quadrature_check,moisture_quadrature_check
9.800000000000000000e+01,1.117744166227140556e-12,1.105966404870671610e-13,6.458890785975211042e-18,4.541721484179980965e-19
9.900000000000000000e+01,1.126074016663904380e-12,1.119880857918566537e-13,6.483554088305581264e-18,4.541721484179980965e-19
1.000000000000000000e+02,1.137642228445718039e-12,1.139885527498062675e-13,6.583652412997982095e-18,4.707806375798471359e-19
1.010000000000000000e+02,1.148477589241930885e-12,1.159403825618438045e-13,6.623730279284833996e-18,4.728566987250782057e-19
1.020000000000000000e+02,1.158053325607081098e-12,1.177441862776271402e-13,6.722383488606314115e-18,4.728566987250782057e-19
1.030000000000000000e+02,1.166420073736746202e-12,1.193978492386383538e-13,6.814870872345201872e-18,4.728566987250782057e-19
1.040000000000000000e+02,1.173916585854050692e-12,1.209394352981999686e-13,6.851865825840756821e-18,4.811609433060027736e-19
1.050000000000000000e+02,1.182035648406900418e-12,1.226713406243741243e-13,6.951289763360061371e-18,4.895949417085042171e-19
1.060000000000000000e+02,1.188919030776208669e-12,1.241632322087646768e-13,6.988284716855617090e-18,4.895949417085042171e-19
1.070000000000000000e+02,1.195128833985746708e-12,1.255419895624466449e-13,7.049942972681540721e-18,4.978991862894286887e-19
1.080000000000000000e+02,1.200880163734555070e-12,1.268573071605911161e-13,7.114684141298763614e-18,4.999752474346598547e-19
1.090000000000000000e+02,1.206317470565055808e-12,1.281430195394847471e-13,7.114684141298763614e-18,5.082794920155843263e-19
1.100000000000000000e+02,1.212198334767666204e-12,1.295799300024094606e-13,7.213530032669699264e-18,5.085389996587382702e-19
1.110000000000000000e+02,1.217024867022058052e-12,1.307895146746580701e-13,7.299851590825995428e-18,5.147671830944316721e-19
1.120000000000000000e+02,1.221314420086143369e-12,1.318912517624928971e-13,7.343012369904141969e-18,5.147671830944316721e-19
1.130000000000000000e+02,1.225338623784258687e-12,1.329348357410850293e-13,7.401587712938770959e-18,5.168432442396627418e-19
1.140000000000000000e+02,1.229241143601529536e-12,1.339699610856054783e-13,7.426251015269141952e-18,5.251474888205873097e-19
1.150000000000000000e+02,1.233578585160656965e-12,1.351499405386032476e-13,7.538777332151454888e-18,5.252772426421642817e-19
1.160000000000000000e+02,1.237152951028296089e-12,1.361491166883190941e-13,7.646679279846822782e-18,5.335814872230887533e-19
1.170000000000000000e+02,1.240327722732388684e-12,1.370457318999159600e-13,7.757664140333488399e-18,5.377336095135509890e-19
1.180000000000000000e+02,1.243285818622848704e-12,1.379011112704134467e-13,7.853234436863673107e-18,5.377336095135509890e-19
1.190000000000000000e+02,1.246175614528576784e-12,1.387438026898034340e-13,7.914892692689599819e-18,5.377336095135509890e-19
1.200000000000000000e+02,1.247485875155216333e-12,1.391371291741360405e-13,8.001214250845892902e-18,5.377336095135509890e-19
1.210000000000000000e+02,1.743532963117524292e-12,1.835047795385558497e-13,8.045316424741842543e-18,5.444169450264948192e-19
1.220000000000000000e+02,1.764121090699083438e-12,1.835058368678148101e-13,8.114681962546008938e-18,5.511641437484959162e-19
1.230000000000000000e+02,1.787591948670708815e-12,1.835058368678148101e-13,8.161070165952545042e-18,5.532402048937270823e-19
1.240000000000000000e+02,1.786119966241140653e-12,1.835058368678148101e-13,8.235060072943654939e-18,5.615444494746515539e-19
1.250000000000000000e+02,1.775572721472475388e-12,1.835026648800379289e-13,8.299030513363052631e-18,5.740008163460383575e-19
1.260000000000000000e+02,1.763430240278806261e-12,1.835037222092968893e-13,8.365313138375921305e-18,5.864571832174251612e-19
1.270000000000000000e+02,1.748697070009097064e-12,1.835047795385558497e-13,8.431595763388791518e-18,5.989135500888118686e-19
1.280000000000000000e+02,1.738212629824093525e-12,1.835005502215200082e-13,8.511751495962493779e-18,6.072177946697364365e-19
1.290000000000000000e+02,1.726151009531888604e-12,1.835037222092968893e-13,8.584199946557956356e-18,6.074773023128902841e-19
1.300000000000000000e+02,1.711900649499077695e-12,1.835090088555916912e-13,8.630443638427399078e-18,6.157815468938148520e-19
1.310000000000000000e+02,1.704044581140310818e-12,1.835174674896633491e-13,8.689018981462029609e-18,6.282379137652015594e-19
1.320000000000000000e+02,1.689006808639843196e-12,1.835216968066991906e-13,8.722931022166287606e-18,6.282379137652015594e-19
1.330000000000000000e+02,1.675164678400832703e-12,1.835269834529939673e-13,8.769174714035731869e-18,6.323900360556638915e-19
1.340000000000000000e+02,1.666752004419365181e-12,1.835333274285477296e-13,8.821584231487768496e-18,6.469224640722816686e-19
1.350000000000000000e+02,1.654907059940792632e-12,1.835460153796552289e-13,8.889408312896286030e-18,6.510745863627440970e-19
1.360000000000000000e+02,1.637616958058761780e-12,1.835629326477985698e-13,9.007329727163367669e-18,6.593788309436685686e-19
1.370000000000000000e+02,1.625604796376190403e-12,1.835819645744598315e-13,9.062822157406700478e-18,6.676830755245929439e-19
1.380000000000000000e+02,1.616626881141768552e-12,1.836031111596389887e-13,9.208489786795449292e-18,6.801394423959798438e-19
1.390000000000000000e+02,1.603943495471314111e-12,1.836242577448181712e-13,9.288645519369151552e-18,6.801394423959798438e-19
1.400000000000000000e+02,1.588093188669724842e-12,1.836580922811048277e-13,9.393464554273224805e-18,6.905197481221354815e-19
1.410000000000000000e+02,1.572768085199005355e-12,1.837003854514631926e-13,9.442791158933965250e-18,6.905197481221354815e-19
1.420000000000000000e+02,1.562145474929946300e-12,1.837469079388573485e-13,9.553776019420629326e-18,6.905197481221354815e-19
1.430000000000000000e+02,1.553380310222678039e-12,1.837786278166261096e-13,9.603102624081369771e-18,6.988239927030599531e-19
1.440000000000000000e+02,1.539796463833975897e-12,1.838357235966098693e-13,9.644721946763868992e-18,7.164705124375245755e-19
1.450000000000000000e+02,1.522997022761801100e-12,1.839118513032548908e-13,9.808887052900396435e-18,7.164705124375245755e-19
1.460000000000000000e+02,1.507319428565281074e-12,1.839964376439715953e-13,9.842799093604654432e-18,7.164705124375245755e-19
1.470000000000000000e+02,1.495710001275439495e-12,1.840704506920986960e-13,9.984613082004281864e-18,7.164705124375245755e-19
1.480000000000000000e+02,1.486038095391557401e-12,1.841402344231899551e-13,1.002777386108243149e-17,7.372311238898358508e-19
1.490000000000000000e+02,1.475281240324921613e-12,1.842227061053887136e-13,1.009559794249094748e-17,7.455353684707604187e-19
1.500000000000000000e+02,1.460110793141468890e-12,1.843432416409099955e-13,1.017575367506464974e-17,7.455353684707604187e-19
1.510000000000000000e+02,1.442908617676564294e-12,1.845018410297537754e-13,1.023895338728622377e-17,7.548776436243004733e-19
1.520000000000000000e+02,1.427582729148549091e-12,1.846456378089721605e-13,1.025224844869869000e-17,7.550073974458773490e-19
1.530000000000000000e+02,1.414739191789757671e-12,1.847957785637442573e-13,1.027691175102905945e-17,7.633116420268018206e-19
1.540000000000000000e+02,1.404272807922556611e-12,1.849290020503730386e-13,1.028770194579859686e-17,7.716158866077263884e-19
1.550000000000000000e+02,1.394475292871351265e-12,1.850558815614480827e-13,1.030003359696378158e-17,7.799201311886508600e-19
1.560000000000000000e+02,1.380983298186254162e-12,1.852462008280606237e-13,1.031544816092026249e-17,7.819961923338820261e-19
1.570000000000000000e+02,1.365778308481787510e-12,1.854640106554060842e-13,1.034627728883322585e-17,7.903004369148065940e-19
1.580000000000000000e+02,1.350460270526730073e-12,1.857008524094128063e-13,1.036785767837229912e-17,7.923764980600377600e-19
1.590000000000000000e+02,1.336479970203664063e-12,1.859419234804553700e-13,1.050350584118933419e-17,8.006807426409621353e-19
1.600000000000000000e+02,1.323124575488030640e-12,1.861977971611233286e-13,1.062740039898955189e-17,8.089849872218867995e-19
1.610000000000000000e+02,1.313091543248094526e-12,1.864092630129150520e-13,1.064281496294603434e-17,8.089849872218867995e-19
1.620000000000000000e+02,1.304156021107644371e-12,1.866059262550813553e-13,1.072297069551973660e-17,8.131371095123490353e-19
1.630000000000000000e+02,1.295565924177332906e-12,1.867899015461401340e-13,1.078462895134566331e-17,8.131371095123490353e-19
1.640000000000000000e+02,1.287173661685555213e-12,1.869886794468243581e-13,1.080929225367603276e-17,8.131371095123490353e-19
1.650000000000000000e+02,1.278198886680316631e-12,1.872170625667593972e-13,1.099445970320326303e-17,8.131371095123490353e-19
1.660000000000000000e+02,1.271291952592135283e-12,1.874094964918898589e-13,1.108386417415085538e-17,8.152131706575801050e-19
1.670000000000000000e+02,1.265432284936510634e-12,1.875828984903590842e-13,1.123184398813307672e-17,8.193652929480423408e-19
1.680000000000000000e+02,1.260064063148037755e-12,1.877499565132745220e-13,1.127808768000251944e-17,8.214413540932735069e-19
1.690000000000000000e+02,1.254857563162493288e-12,1.879085559021183272e-13,1.132741428466325988e-17,8.214413540932735069e-19
1.700000000000000000e+02,1.249043428830023199e-12,1.881052191442846053e-13,1.134128739222409347e-17,8.298753524957749504e-19
1.710000000000000000e+02,1.244339365513771536e-12,1.882765064842359098e-13,1.137211652013705529e-17,8.506359639480862257e-19
1.720000000000000000e+02,1.240301030784332520e-12,1.884224179219721904e-13,1.142144312479779573e-17,8.547880862385484615e-19
1.730000000000000000e+02,1.236620682181764257e-12,1.885789026522980496e-13,1.146152099108464763e-17,8.651683919647041954e-19
1.740000000000000000e+02,1.233116186413448506e-12,1.887142407974447515e-13,1.154784254924094380e-17,8.817768811265531386e-19
1.750000000000000000e+02,1.229198750507558042e-12,1.888876427959139516e-13,1.157385462591750581e-17,8.817768811265531386e-19
1.760000000000000000e+02,1.225973735136536188e-12,1.890293249166144159e-13,1.164167870732602180e-17,8.817768811265531386e-19
1.770000000000000000e+02,1.223150669100948617e-12,1.891752363543506965e-13,1.170950278873454088e-17,8.900811257074776102e-19
1.780000000000000000e+02,1.220555269681134250e-12,1.892894279143182160e-13,1.176499521897787369e-17,8.921571868527087762e-19
1.790000000000000000e+02,1.218076058741093533e-12,1.894247660594649180e-13,1.178965852130824314e-17,9.004614314336334404e-19
1.800000000000000000e+02,1.216961277381100609e-12,1.894903204735203609e-13,1.182780956710053358e-17,9.004614314336334404e-19
1.810000000000000000e+02,1.510506761186105933e-12,2.279453856218437739e-13,1.189524301576035031e-17,9.048823113955453930e-19
1.820000000000000000e+02,1.529236658148578166e-12,2.279432709633259036e-13,1.199042794819162242e-17,9.105914795449311959e-19
1.830000000000000000e+02,1.553485507900311260e-12,2.279432709633259036e-13,1.208137387553486208e-17,9.178576935532400845e-19
1.840000000000000000e+02,1.563579774609317466e-12,2.279411563048079828e-13,1.215767596711944450e-17,9.199337546984712505e-19
1.850000000000000000e+02,1.558293198779604509e-12,2.279411563048079828e-13,1.223205123820946700e-17,9.246048922752412778e-19
1.860000000000000000e+02,1.541752041557738063e-12,2.279390416462900621e-13,1.230912405799187308e-17,9.329091368561657494e-19
1.870000000000000000e+02,1.533245160700778153e-12,2.279411563048079828e-13,1.239544561614816770e-17,9.412133814370902210e-19
1.880000000000000000e+02,1.516457495488039904e-12,2.279453856218437739e-13,1.242319183126983488e-17,9.474415648727837192e-19
1.890000000000000000e+02,1.507465449222294155e-12,2.279496149388796154e-13,1.242935765685242724e-17,9.515936871632458587e-19
1.900000000000000000e+02,1.496735286103714731e-12,2.279496149388796154e-13,1.245247950278714937e-17,9.560053170968621346e-19
1.910000000000000000e+02,1.481641774535247230e-12,2.279475002803616946e-13,1.251567921500872340e-17,9.601574393873242741e-19
1.920000000000000000e+02,1.473172576428484316e-12,2.279496149388796154e-13,1.253957178914126919e-17,9.687211916114026896e-19
1.930000000000000000e+02,1.462045174318245309e-12,2.279559589144333777e-13,1.257656674263682337e-17,9.770254361923271612e-19
1.940000000000000000e+02,1.445923237692319708e-12,2.279496149388796154e-13,1.264284936764969359e-17,9.770254361923271612e-19
1.950000000000000000e+02,1.435296702136781669e-12,2.279580735729512985e-13,1.269063451591478671e-17,9.811775584827894933e-19
1.960000000000000000e+02,1.426752138529624764e-12,2.279644175485050608e-13,1.271529781824515770e-17,9.811775584827894933e-19
1.970000000000000000e+02,1.414676387206095944e-12,2.279707615240588231e-13,1.273302456679511113e-17,9.920768794952528262e-19
1.980000000000000000e+02,1.397025158968011072e-12,2.279834494751662972e-13,1.280701447378621949e-17,1.004533246366639630e-18
1.990000000000000000e+02,1.384465812350288248e-12,2.279749908410946142e-13,1.289950185752510956e-17,1.004533246366639630e-18
2.000000000000000000e+02,1.376444096902113976e-12,2.279876787922021388e-13,1.294728700579020114e-17,1.012837490947564101e-18
2.010000000000000000e+02,1.365820701575759004e-12,2.279961374262738218e-13,1.300894526161612477e-17,1.021141735528488766e-18
2.020000000000000000e+02,1.349405153521215607e-12,2.280045960603454544e-13,1.313226177326797511e-17,1.021141735528488766e-18
2.030000000000000000e+02,1.332777639996814337e-12,2.280130546944171375e-13,1.321858333142427282e-17,1.025293857818950905e-18
2.040000000000000000e+02,1.320505624349343177e-12,2.280363159381142155e-13,1.329873906399797354e-17,1.046054469271262180e-18
2.050000000000000000e+02,1.311367557426584347e-12,2.280490038892217401e-13,1.333573401749352772e-17,1.056434774997418011e-18
2.060000000000000000e+02,1.303111894904270738e-12,2.280595771818113439e-13,1.342822140123241778e-17,1.058510836142648984e-18
2.070000000000000000e+02,1.288381079806449094e-12,2.280786091084725803e-13,1.348140164688227807e-17,1.066815080723573456e-18
2.080000000000000000e+02,1.270356164295577735e-12,2.281082143277234206e-13,1.354305990270820324e-17,1.066815080723573456e-18
2.090000000000000000e+02,1.254196544919455340e-12,2.281420488640101024e-13,1.358622068178634978e-17,1.085499631030653757e-18
2.100000000000000000e+02,1.241894697094744748e-12,2.281758834002967842e-13,1.365712767598616350e-17,1.089651753321115897e-18
2.110000000000000000e+02,1.231933890126019559e-12,2.281928006684400999e-13,1.370028845506431158e-17,1.106260242482964840e-18
2.120000000000000000e+02,1.222560306014529758e-12,2.282266352047267817e-13,1.370028845506431158e-17,1.106260242482964840e-18
2.130000000000000000e+02,1.209368203216416583e-12,2.282541257654597012e-13,1.373111758297727494e-17,1.106260242482964840e-18
2.140000000000000000e+02,1.193494344695954216e-12,2.283048775698896987e-13,1.379894166438579401e-17,1.106260242482964840e-18
2.150000000000000000e+02,1.176907654150933008e-12,2.283598586913555377e-13,1.394692147836801227e-17,1.114564487063889504e-18
2.160000000000000000e+02,1.161545652987312443e-12,2.284169544713393479e-13,1.407023799001986569e-17,1.114564487063889504e-18
2.170000000000000000e+02,1.147562212435063368e-12,2.284719355928051869e-13,1.409528665644914774e-17,1.131432483868892584e-18
2.180000000000000000e+02,1.136992201004820923e-12,2.285290313727889467e-13,1.414461326110988665e-17,1.141812789595048029e-18
2.190000000000000000e+02,1.127514989330289536e-12,2.285670952261114195e-13,1.420627151693581336e-17,1.154269156466435025e-18
2.200000000000000000e+02,1.118257593698573789e-12,2.286157323720235467e-13,1.429875890067469881e-17,1.154269156466435025e-18
2.210000000000000000e+02,1.108946814170745715e-12,2.286643695179356234e-13,1.439972429458965222e-17,1.154269156466435025e-18
2.220000000000000000e+02,1.098590338324952577e-12,2.287256946149552247e-13,1.454770410857187201e-17,1.154269156466435025e-18
2.230000000000000000e+02,1.090325255115089568e-12,2.287806757364210637e-13,1.459394780044131627e-17,1.162573401047359497e-18
2.240000000000000000e+02,1.083517238246175308e-12,2.288229689067794286e-13,1.464327440510205518e-17,1.166725523337821636e-18
2.250000000000000000e+02,1.077412632714270490e-12,2.288652620771377430e-13,1.472343013767575590e-17,1.170877645628283968e-18
2.260000000000000000e+02,1.071606348954758168e-12,2.289138992230498702e-13,1.472574232226922842e-17,1.179181890209208247e-18
2.270000000000000000e+02,1.065030709045391409e-12,2.289583070519261054e-13,1.482439553159071239e-17,1.179181890209208247e-18
2.280000000000000000e+02,1.059475643620525388e-12,2.290027148808023910e-13,1.483364426996459940e-17,1.189562195935364078e-18
2.290000000000000000e+02,1.054752738929175126e-12,2.290534666852323885e-13,1.490146835137311847e-17,1.193714318225826217e-18
2.300000000000000000e+02,1.050510289302836003e-12,2.290936451970728326e-13,1.491996582812089556e-17,1.193714318225826217e-18
2.310000000000000000e+02,1.046537899386241579e-12,2.291295943918773847e-13,1.499472646330983220e-17,1.202537578093058577e-18
